index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
1,b20260409_033027_01_multi_slit,mask_01_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\masks\mask_01_multi_slit.png,7.77244e-07,1.251e-08,5.477493e-06,1024,1024,14,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_01_multi_slit_0190568321.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_01_multi_slit_0190568321.exr,10.363,1
2,b20260409_033027_02_radial_spokes,mask_02_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\masks\mask_02_radial_spokes.png,1.37604e-06,1.9692e-08,9.978873e-06,1024,1024,12,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_02_radial_spokes_1143447528.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_02_radial_spokes_1143447528.exr,6.919,1
3,b20260409_033027_03_star_polygon,mask_03_star_polygon,star_polygon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\masks\mask_03_star_polygon.png,1.581785e-06,2.8798e-08,8.351551e-06,1024,1024,12,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_03_star_polygon_0165356742.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_03_star_polygon_0165356742.exr,5.874,1
4,b20260409_033027_04_ring_gap,mask_04_ring_gap,ring_gap,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\masks\mask_04_ring_gap.png,1.206066e-06,3.9514e-08,7.193539e-06,1024,1024,14,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_04_ring_gap_3070914194.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033027\outputs\out_b20260409_033027_04_ring_gap_3070914194.exr,6.671,1
