index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
1,sb_01_multi_slit,mask_01_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_01_multi_slit.png,7.77244e-07,1.251e-08,5.477493e-06,1024,1024,14,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_01_multi_slit_8287979901.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_01_multi_slit_8287979901.exr,6.345,1
2,sb_02_radial_spokes,mask_02_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_02_radial_spokes.png,1.37604e-06,1.9692e-08,9.978873e-06,1024,1024,12,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_02_radial_spokes_8725298916.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_02_radial_spokes_8725298916.exr,3.172,1
3,sb_03_star_polygon,mask_03_star_polygon,star_polygon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_03_star_polygon.png,1.581785e-06,2.8798e-08,8.351551e-06,1024,1024,12,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_03_star_polygon_9735445969.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_03_star_polygon_9735445969.exr,3.755,1
4,sb_04_ring_gap,mask_04_ring_gap,ring_gap,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_04_ring_gap.png,1.206066e-06,3.9514e-08,7.193539e-06,1024,1024,14,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_04_ring_gap_1916088103.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_04_ring_gap_1916088103.exr,4.537,1
5,sb_05_polygon_aperture,mask_05_polygon_aperture,polygon_aperture,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_05_polygon_aperture.png,1.686934e-06,1.8301e-08,1.0130399e-05,1024,1024,14,tungsten,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_05_polygon_aperture_2236676485.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_05_polygon_aperture_2236676485.exr,10.986,1
6,sb_06_crescent,mask_06_crescent,crescent,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_06_crescent.png,1.116241e-06,2.89e-08,3.992325e-06,1024,1024,11,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_06_crescent_0978033353.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_06_crescent_0978033353.exr,8.596,2
7,sb_07_scratched_disc,mask_07_scratched_disc,scratched_disc,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_07_scratched_disc.png,1.32785e-06,3.6337e-08,4.710078e-06,1024,1024,13,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_07_scratched_disc_0036127418.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_07_scratched_disc_0036127418.exr,19.551,2
8,sb_08_grid,mask_08_grid,grid,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_08_grid.png,7.67468e-07,2.872e-08,1.0855841e-05,1024,1024,12,amber,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_08_grid_8197927002.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_08_grid_8197927002.exr,5.034,1
9,sb_09_offset_occlusion,mask_09_offset_occlusion,offset_occlusion,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_09_offset_occlusion.png,1.795665e-06,1.4593e-08,6.818518e-06,1024,1024,10,teal,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_09_offset_occlusion_5466640578.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_09_offset_occlusion_5466640578.exr,6.216,1
10,sb_10_asymmetric_blades,mask_10_asymmetric_blades,asymmetric_blades,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\masks\mask_10_asymmetric_blades.png,8.21231e-07,2.5535e-08,9.572727e-06,1024,1024,12,cyan,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_10_asymmetric_blades_9686804230.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_031447\outputs\out_sb_10_asymmetric_blades_9686804230.exr,5.899,1
