index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
1,b20260409_140321_001_disc,mask_01_disc,disc,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_01_disc.png,7.77244e-07,1.251e-08,5.477493e-06,1024,1024,14,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_001_disc_6300596444.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_001_disc_6300596444.exr,73.764,1
2,b20260409_140321_002_pinhole,mask_02_pinhole,pinhole,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_02_pinhole.png,1.37604e-06,1.9692e-08,9.978873e-06,1024,1024,12,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_002_pinhole_4309386328.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_002_pinhole_4309386328.exr,16.718,1
3,b20260409_140321_003_annulus,mask_03_annulus,annulus,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_03_annulus.png,1.581785e-06,2.8798e-08,8.351551e-06,1024,1024,12,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_003_annulus_9277168234.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_003_annulus_9277168234.exr,6.633,1
4,b20260409_140321_004_double_slit,mask_04_double_slit,double_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_04_double_slit.png,1.206066e-06,3.9514e-08,7.193539e-06,1024,1024,14,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_004_double_slit_1073111758.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_004_double_slit_1073111758.exr,17.382,1
5,b20260409_140321_005_cross,mask_05_cross,cross,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_05_cross.png,1.686934e-06,1.8301e-08,1.0130399e-05,1024,1024,14,tungsten,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_005_cross_0477728913.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_005_cross_0477728913.exr,6.843,1
6,b20260409_140321_006_chevron,mask_06_chevron,chevron,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_06_chevron.png,1.116241e-06,2.89e-08,3.992325e-06,1024,1024,11,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_006_chevron_9989368035.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_006_chevron_9989368035.exr,12.264,2
7,b20260409_140321_007_multi_slit,mask_07_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_07_multi_slit.png,1.32785e-06,3.6337e-08,4.710078e-06,1024,1024,13,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_007_multi_slit_1071146030.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_007_multi_slit_1071146030.exr,50.628,2
8,b20260409_140321_008_radial_spokes,mask_08_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_08_radial_spokes.png,7.67468e-07,2.872e-08,1.0855841e-05,1024,1024,12,amber,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_008_radial_spokes_8454996825.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_008_radial_spokes_8454996825.exr,9.188,1
9,b20260409_140321_009_triangle,mask_09_triangle,triangle,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_09_triangle.png,1.795665e-06,1.4593e-08,6.818518e-06,1024,1024,10,teal,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_009_triangle_4917623596.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_009_triangle_4917623596.exr,9.469,1
10,b20260409_140321_010_square,mask_10_square,square,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_10_square.png,8.21231e-07,2.5535e-08,9.572727e-06,1024,1024,12,cyan,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_010_square_1851125908.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_010_square_1851125908.exr,7.252,1
11,b20260409_140321_011_pentagon,mask_11_pentagon,pentagon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_11_pentagon.png,8.66439e-07,3.1723e-08,5.748478e-06,1024,1024,9,green,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_011_pentagon_9951495024.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_011_pentagon_9951495024.exr,15.301,1
12,b20260409_140321_012_hexagon,mask_12_hexagon,hexagon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_12_hexagon.png,9.43901e-07,4.1511e-08,1.0296135e-05,1024,1024,10,blue_soft,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_012_hexagon_6313352510.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_012_hexagon_6313352510.exr,11.224,1
13,b20260409_140321_013_heptagon,mask_13_heptagon,heptagon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\masks\mask_13_heptagon.png,1.092632e-06,4.0183e-08,5.142564e-06,1024,1024,12,purple,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_013_heptagon_3152323184.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_140321\outputs\out_b20260409_140321_013_heptagon_3152323184.exr,23.563,1
