index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
49,b20260409_033055_049_offset_occlusion,mask_49_offset_occlusion,offset_occlusion,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_49_offset_occlusion.png,1.146926e-06,2.4845e-08,8.462384e-06,1024,1024,11,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_049_offset_occlusion_0339831038.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_049_offset_occlusion_0339831038.exr,60.296,2
50,b20260409_033055_050_asymmetric_blades,mask_50_asymmetric_blades,asymmetric_blades,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_50_asymmetric_blades.png,1.502734e-06,2.1601e-08,4.887919e-06,1024,1024,14,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_050_asymmetric_blades_4624079397.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_050_asymmetric_blades_4624079397.exr,72.532,2
51,b20260409_033055_051_multi_slit,mask_51_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_51_multi_slit.png,7.90025e-07,1.9069e-08,7.435872e-06,1024,1024,12,blue_soft,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_051_multi_slit_9544173549.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_051_multi_slit_9544173549.exr,8.879,1
52,b20260409_033055_052_radial_spokes,mask_52_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_52_radial_spokes.png,8.60885e-07,2.8352e-08,8.977629e-06,1024,1024,14,purple,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_052_radial_spokes_8318736651.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_052_radial_spokes_8318736651.exr,16.1,1
53,b20260409_033055_053_star_polygon,mask_53_star_polygon,star_polygon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_53_star_polygon.png,1.539936e-06,2.3832e-08,5.126234e-06,1024,1024,9,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_053_star_polygon_3750094002.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_053_star_polygon_3750094002.exr,8.308,1
54,b20260409_033055_054_ring_gap,mask_54_ring_gap,ring_gap,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_54_ring_gap.png,1.01625e-06,2.7961e-08,5.524976e-06,1024,1024,13,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_054_ring_gap_5794859086.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_054_ring_gap_5794859086.exr,13.029,1
55,b20260409_033055_055_polygon_aperture,mask_55_polygon_aperture,polygon_aperture,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_55_polygon_aperture.png,9.20216e-07,3.1608e-08,4.331175e-06,1024,1024,12,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_055_polygon_aperture_0179440524.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_055_polygon_aperture_0179440524.exr,63.488,2
56,b20260409_033055_056_crescent,mask_56_crescent,crescent,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_56_crescent.png,1.645144e-06,1.8608e-08,1.143018e-05,1024,1024,14,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_056_crescent_8044092172.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_056_crescent_8044092172.exr,7.3,1
57,b20260409_033055_057_scratched_disc,mask_57_scratched_disc,scratched_disc,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_57_scratched_disc.png,1.42759e-06,4.2687e-08,1.0614312e-05,1024,1024,12,tungsten,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_057_scratched_disc_8320208904.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_057_scratched_disc_8320208904.exr,24.491,1
58,b20260409_033055_058_grid,mask_58_grid,grid,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_58_grid.png,1.384351e-06,2.6803e-08,3.281819e-06,1024,1024,11,candle,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_058_grid_4210281792.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_058_grid_4210281792.exr,6.608,1
59,b20260409_033055_059_offset_occlusion,mask_59_offset_occlusion,offset_occlusion,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_59_offset_occlusion.png,1.017585e-06,2.3756e-08,7.457978e-06,1024,1024,10,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_059_offset_occlusion_7941683737.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_059_offset_occlusion_7941683737.exr,35.938,2
